945.9147	124.1636	v
92.13049	625.249	q
468.5197	627.118	e
545.4163	366.1996	d
761.9483	375.7397	f
1454.123	626.6086	i
277.6977	635.4782	w
1383.618	368.6852	j
1828.139	606.5282	p
663.2721	633.5171	r
1171.386	378.1138	h
1257.24	635.1962	u
320.3738	366.9692	s
968.453	377.3322	g
1058.733	634.6003	y
1204.858	123.4691	b
861.2269	635.0624	t
145.3186	116.0125	z
1474.588	121.9476	m
1611.087	373.1093	k
103.7216	360.1618	a
1646.82	647.0535	o
1822.402	330.0949	l
689.5285	122.352	c
1760.41	106.5383	n
424.4543	119.8046	x
